Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,NOK,NOK,NOK,NOK,NOK,,,
2022-03-10,2022,3,10,Thursday,10,2022-10,4.37,4.42,4.31,4.36,25449600,-0.012220214908681637,4.62,5.0798000000000005
2022-03-11,2022,3,11,Friday,10,2022-10,4.46,4.47,4.32,4.32,24625700,-0.008247378448524856,4.565714285714286,5.0532
2022-03-14,2022,3,14,Monday,11,2022-11,4.54,4.58,4.47,4.51,36673600,0.04365902828643731,4.534285714285715,5.031000000000001
2022-03-15,2022,3,15,Tuesday,11,2022-11,4.55,4.58,4.51,4.58,26503800,0.015936274780904647,4.5164285714285715,5.0108
2022-03-16,2022,3,16,Wednesday,11,2022-11,4.71,4.72,4.58,4.72,32842100,0.03137258738859661,4.507857142857143,4.9921999999999995
2022-03-17,2022,3,17,Thursday,11,2022-11,4.73,4.79,4.71,4.78,22962000,0.011406882862800671,4.5,4.9756
2022-03-18,2022,3,18,Friday,11,2022-11,4.69,4.8,4.69,4.79,20828300,0.0018796889323360322,4.498571428571428,4.961
2022-03-21,2022,3,21,Monday,12,2022-12,4.79,4.81,4.72,4.76,20785300,-0.005628486992303006,4.506428571428572,4.9462
2022-03-22,2022,3,22,Tuesday,12,2022-12,4.81,4.84,4.78,4.82,25156700,0.013207574571610481,4.508571428571429,4.933
2022-03-23,2022,3,23,Wednesday,12,2022-12,4.77,4.8,4.72,4.74,17479200,-0.016759683758363675,4.5285714285714285,4.917
2022-03-24,2022,3,24,Thursday,12,2022-12,4.76,4.81,4.74,4.8,17752300,0.011363572385115539,4.5635714285714295,4.9008
2022-03-25,2022,3,25,Friday,12,2022-12,4.79,4.83,4.77,4.82,18601200,0.0056179462536487534,4.617142857142857,4.8878
2022-03-28,2022,3,28,Monday,13,2022-13,4.82,4.85,4.78,4.84,17026300,0.003724374168525335,4.660714285714286,4.878800000000001
2022-03-29,2022,3,29,Tuesday,13,2022-13,4.99,5.01,4.91,4.97,23298200,0.025973882721811448,4.700714285714286,4.8716
2022-03-30,2022,3,30,Wednesday,13,2022-13,4.99,5.03,4.97,4.97,25986500,0.0,4.744285714285715,4.8676
2022-03-31,2022,3,31,Thursday,13,2022-13,4.96,4.98,4.9,4.9,18254600,-0.0126582557953131,4.785714285714286,4.862399999999999
2022-04-01,2022,4,1,Friday,13,2022-13,4.97,4.99,4.92,4.99,17550400,0.016483525564811252,4.82,4.861000000000001
2022-04-04,2022,4,4,Monday,14,2022-14,5.0,5.02,4.99,5.02,14702400,0.007207359897221988,4.851428571428571,4.8624
2022-04-05,2022,4,5,Tuesday,14,2022-14,4.99,5.0,4.94,4.96,26184200,-0.01252267223778547,4.868571428571428,4.8629999999999995
2022-04-06,2022,4,6,Wednesday,14,2022-14,4.9,4.91,4.81,4.86,24163800,-0.0199272404153239,4.874285714285714,4.8602
2022-04-07,2022,4,7,Thursday,14,2022-14,4.88,4.9,4.81,4.89,22521000,0.005545354157921567,4.881428571428572,4.8578
2022-04-08,2022,4,8,Friday,14,2022-14,4.86,4.9,4.81,4.82,16916400,-0.012867673068382879,4.885714285714285,4.8538
2022-04-11,2022,4,11,Monday,15,2022-15,4.79,4.81,4.74,4.75,19077300,-0.014897496674101007,4.880714285714285,4.846
2022-04-12,2022,4,12,Tuesday,15,2022-15,4.73,4.77,4.63,4.65,22544600,-0.020794034694990415,4.8742857142857146,4.832999999999999
2022-04-13,2022,4,13,Wednesday,15,2022-15,4.69,4.72,4.65,4.72,22584400,0.01351333625328932,4.868571428571428,4.820600000000001
2022-04-14,2022,4,14,Thursday,15,2022-15,4.71,4.73,4.58,4.59,21080800,-0.02666672598582631,4.852142857142857,4.8052
